,id,layer,x,y,deposit,normalized_x,normalized_y,cluster_id,bush_id,bush_x,bush_y
78,1112,3,524377,7018899,ПК19,0.04868580671249494,0.36951071572988275,0,19,0.048685807483903165,0.36951070641449657
274,360,30,526244,7014330,БС10,0.19967650626769107,0.0,0,88,0.23157974124633388,0.006066488557758991
246,323,6,526816,7016639,БС10,0.245936109987869,0.1867367569753336,0,117,0.24593610427202464,0.1867367517914388
55,1079,8,526029,7020988,ПК19,0.18228871815608572,0.5384553174282248,0,121,0.23025158038100618,0.42521156226313694
387,99,25,527530,7026695,БС10,0.3036797412050142,1.0,0,153,0.2790548630622798,0.889281783663398
203,273,4,525715,7018386,БС10,0.15689446016983422,0.3280226445612616,0,121,0.23025158038100618,0.42521156226313694
42,1061,7,523775,7020930,ПК19,0.0,0.5337646583097453,0,8,0.029543643254864704,0.4725200855163518
233,308,2,524655,7016542,БС11,0.07116862110796603,0.1788920339668419,0,51,0.0711686161538648,0.17889202565759277
150,197,16,528331,7021772,БС10,0.3684593610998787,0.6018600889607764,0,165,0.36845936000134627,0.6018600783526245
116,159,19,529123,7024889,БС10,0.4325111200970481,0.8539425798625152,0,151,0.37181385025770475,0.7212896570650073
9,1011,23,526873,7023741,ПК19,0.25054589567327135,0.7610998786898504,0,153,0.2790548630622798,0.889281783663398
208,278,11,528659,7019336,БС10,0.3949858471492115,0.40485240598463407,0,121,0.23025158038100618,0.42521156226313694
287,401К,7,524583,7019255,БС10,0.06534573392640518,0.3983016579053781,0,8,0.029543643254864704,0.4725200855163518
165,215,15,528007,7022450,БС11,0.3422563687828548,0.6566922765871411,0,151,0.37181385025770475,0.7212896570650073
275,361,29,526833,7014442,БС10,0.24731095835018196,0.009057824504650222,0,88,0.23157974124633388,0.006066488557758991
362,76,28,524394,7015223,АС6,0.050060655074807926,0.07221997573797008,0,0,0.07727139654701325,0.07527916402615975
124,167,22,527952,7022332,БС10,0.33780832996360693,0.6471492114840275,0,128,0.33780832417391365,0.6471492095362715
351,677Р,4,525395,7018774,ПК19,0.1310149615851193,0.35940153659522844,0,75,0.13101495661171728,0.35940153166647243
294,435Г,28,524901,7015280,БС10,0.09106348564496562,0.07682976142337242,0,0,0.07727139654701325,0.07527916402615975
332,5ВЗ,34,524658,7021941,ПК1,0.07141124140719773,0.6155276991508289,0,81,0.07141123998359605,0.615527692275065
